tAmylalcohol,-0.46554,-0.101764,-0.094531,-0.09048399,-0.033747,-0.338933,-0.09361,-0.062535,-0.056838,-0.056669,-0.279575,-0.21470849,-0.0671095,-0.063404,-0.0472755,0.51,0.38,0.3,23,17.5,6,11,52,0.87,0.68,0.68,0.31,13,0.4,1,0.35,8.5,0.37,0.84,1.65,10.8,102,1,6,26.4,1.39,12.3,0.45,4,10,0.2,0.7,2.5,43.2,88.15,0.81,21.1,0.28,0.66,0.18,1,0.9,2.8,49,20.2,2.39,90.2597,6.1265,-0.3527,1.2495,0.5177,0.4477,-0.3159,0.2702,-0.0211,-0.6604,-0.0275,0.9501,-0.5223,-0.1853,0.8682,0.0318,-0.0856,0.1745,0.0445,0.1718,-0.5167,-0.2732,0.0748,0.115,-0.0746,-0.4625,-0.0761,-0.121,0.0152,-0.0094,-0.7118,-0.0477,0.0013,-0.3617,0.1377,-0.1169,-0.2176,-0.1838,0.3136,-0.2187,0.0192,0.0338,-0.3322,-0.1722,-0.1025,-0.3609,0.2266,0.106,-0.1283,0.0121,0.0708,-0.5632,0.1888,-0.1755,-0.1449
benzene,-0.148855,-0.148855,-0.087505,-0.087504,-0.08707599,-0.145844,-0.145843,-0.14367,-0.14367,-0.057368003,-0.14734949,-0.147349,-0.115373,-0.115372494,-0.0714685,0.09,0,0.18,18,18.5,0,3,44,0,0.14,0.17,-0.1,2.3,0.3,0.59,0,10.3,0,0.14,0,5.5,80.1,0.65,5.5,17.6,1.5,2.3,-0.05,2.7,9.24,0,1,1.74,30.8,78.11,0.88,28.9,0.11,-0.59,-0.3,0.01,0.9,95.1,-11,0,2.13,77.1549,-12.359,0.9867,0.0934,0.0372,-0.1081,0.0335,-0.1962,-0.2858,0.025,0.0108,-0.0853,0.0567,0.2269,-0.0468,0.1132,0.0255,-0.0261,0.0878,-0.055,-0.0938,0.0362,-0.2161,-0.1155,-0.0763,0.0415,0.3632,0.2761,0.0821,-0.0556,-0.0333,0.1471,0.1017,0.1705,-0.0735,0.2961,-0.26,-0.0336,0.0318,-0.3284,0.1321,0.1276,-0.1206,-0.0364,0.0925,0.0837,-0.0745,-0.064,-0.0267,-0.015,-0.0345,-0.0739,0.0327,0.0315,-0.0731
cyclopentylmethylether,-0.172957,-0.161471,-0.15482299,-0.130469,-0.050549,-0.292412,-0.080446,-0.078788,-0.074695,-0.072732,-0.151059,-0.102582,-0.096751,-0.0966025,-0.09597249,0.48,0.2,0.16,9.6,16.5,0.6,7.4,48.5,0,0.47,0.59,-0.37,4.8,0.45,0.7,0,11.7,0,0.1,1.03,-91.5,106,0.6,7.3,29.5,1.41,4.5,0.24,0.56,9.8,0,0.7,2.44,37.4,100.18,0.86,22,0.28,-0.23,-0.05,0.1,1,16.2,22,0,2.29,100.3906,-6.6404,-1.0485,-0.7008,-0.3527,0.4661,-0.9133,-1.0918,0.1913,-0.315,-1.3879,0.1528,0.1384,0.3291,-0.4099,0.107,-0.533,0.199,0.022,0.2359,0.2414,0.1568,0.1327,-0.1274,0.0907,0.2636,-0.1463,0.3444,0.1795,0.2175,0.3617,-0.0191,0.1148,0.2617,0.0656,0.2679,0.7798,0.0019,0.8445,-0.0529,-0.2856,-0.4135,0.0733,-0.1401,0.4962,0.5971,0.5126,-0.208,-0.0577,0.3009,-0.658,-0.197,0.2013,-0.1657,-0.1999
methyltetrahydrofuran,-0.246237,-0.228381,-0.124585,-0.06019,-0.059428003,-0.299335,-0.101026,-0.095006004,-0.082283,-0.070418,-0.17363149,-0.1676225,-0.1283665,-0.103434,-0.064186,0.32,0.12,0.22,19.2,17,6.1,10,51.5,0,0.5,0.54,0.33,7.58,0.48,0.98,0.08,8,0,0.55,1.41,-136,80.5,0.45,5.7,22.3,1.41,6.97,0.48,4.3,9.35,0.2,1,2.5,30,86.13,0.85,25,0.28,-0.49,0.25,0.1,0.6,190,-11,9.23,0.89,86.5348,-4.4206,-0.9471,-1.4108,-0.1815,0.8166,-1.3786,-0.4818,0.2286,-0.1403,0.1164,-0.0178,-0.5787,0.6699,0.2203,0.709,0.1521,-0.217,-0.0082,-0.7353,0.0256,0.621,0.2912,-0.0882,0.403,0.0871,-0.0564,0.0435,0.4802,0.9557,-0.3844,0.6201,0.4326,0.1859,-0.1145,-0.0929,0.2,-0.3166,-0.7588,0.3921,0.7642,-0.2139,-0.9004,0.6018,0.377,-0.4048,0.0019,-0.1314,0.3555,0.2987,0.2253,0.184,0.2608,-0.033,0.0366
pCymene,-0.124351,-0.119288,-0.11001401,-0.105220996,-0.065634,-0.122393,-0.117832996,-0.077665,-0.071906,-0.071252,-0.101008,-0.095597,-0.0895245,-0.088236496,-0.085337,0.09,0,0.19,18.5,18.5,1.5,6.2,45.5,0,0.14,0.17,-0.06,2.29,0.3,0.6,0,13.3,0,0.14,0.08,-68.2,177,0.85,5.1,22.5,1.49,2.36,-0.1,2.6,8.5,0,1,1.8,44.5,134.22,0.86,28.8,0.1,-0.53,-0.27,0.01,0.8,2.04,47,0,4.1,132.5827,-21.236,1.0017,0.4028,-0.2622,0.8526,0.1209,-0.1039,1.8261,-0.1398,0.522,-1.0201,0.5474,-0.4489,-0.2171,-0.4042,0.1623,-0.2423,-0.3184,0.2139,-0.3505,-0.1668,0.7671,1.1597,0.4305,-0.265,0.0634,0.627,0.3027,0.4031,-0.1508,-0.4287,-0.1913,-0.2529,0.3552,0.0611,-0.0133,0.5332,0.1362,0.1646,0.0888,0.0638,0.1543,0.1565,0.0873,0.0451,-0.2568,-0.0471,0.227,0.1862,0.0645,-0.0618,-0.139,0.0475,0.0369
mesitylene,-0.12769,-0.107085,-0.071342,-0.070387006,-0.063388005,-0.160495,-0.119077995,-0.076584004,-0.063448,-0.060127,-0.111819506,-0.102137,-0.091233,-0.083606,-0.0669175,0.09,0,0.15,18.2,18.5,0,5,45.5,0,0.15,0.17,-0.05,2.35,0.3,0.6,0,12.8,0,0.14,0,-45,165.4,1,5.9,25.3,1.51,2.27,-0.2,2.3,8.4,0,1,1.51,41,120.19,0.86,27,0.09,-0.56,-0.28,0.01,0.7,3.7,17,0,3.4,118.7219,-19.0005,0.5313,0.1089,-0.2345,0.5033,0.1081,0.2177,0.7034,0.0204,-0.1288,-0.67,-0.069,-0.3685,0.5389,-0.4296,-0.1703,-0.2402,-0.1565,-0.1107,0.0525,-0.0685,0.3824,0.4515,0.144,-0.0006,0.0266,-0.0689,0.2975,-0.2276,0.1085,-0.3363,0.1744,0.5173,-0.4868,0.2724,-0.1164,-0.2845,-0.2887,-0.6158,-0.1888,0.1972,-0.3759,0.0097,-0.1367,0.2172,0.3862,-0.0979,-0.3625,-0.2883,-0.0508,0.363,0.1898,-0.3158,0.0391
tetrahydrofuran,-0.247614,-0.202396,-0.128923,-0.066818,-0.064411,-0.315315,-0.102882,-0.102243,-0.078384005,-0.076944,-0.17836699,-0.152639,-0.138167,-0.103653505,-0.068818,0.26,0.11,0.23,18,17.8,7.3,11,50,0,0.55,0.58,0.49,7.52,0.48,0.98,0.08,7.3,0,0.55,1.75,-108.5,66,0.36,5.5,21.8,1.41,7.58,0.55,4,9.57,1,1,2.11,26.5,72.11,0.89,26.4,0.26,-0.48,0.32,0.1,0.9,160,-14,20.2,0.45,72.6727,-2.2097,-0.631,-1.2437,0.1468,0.0229,-0.7851,-0.2565,-0.3342,-0.1378,0.8947,-0.087,0.5287,1.2259,0.6281,-0.5304,0.2533,-0.1377,0.1583,0.4299,-0.2974,-0.1015,0.1115,-0.0231,0.2108,0.2275,0.1228,-0.1652,0.1197,-0.1956,0.0416,-0.0548,-0.153,-0.0654,0.0652,-0.1659,-0.1034,-0.0216,-0.1398,0.1357,0.1886,-0.3954,-0.198,0.0132,0.0649,0.4198,0.0832,-0.0819,0.0215,-0.2688,-0.2368,-0.0999,-0.3625,-0.0915,0.0608
toluene,-0.127528,-0.123390004,-0.12298599,-0.118037,-0.066405,-0.158716,-0.13211799,-0.083787,-0.083149,-0.077031,-0.1106895,-0.1033865,-0.1022795,-0.100593,-0.0998065,0.1,0,0.19,18.2,18.3,1.3,6.2,43.5,0,0.11,0.31,-0.04,2.38,0.3,0.62,0,10.4,0,0.14,0.38,-95,110.6,0.59,5.2,18.7,1.5,2.38,-0.16,2.4,8.82,0,1,1.7,38.1,92.14,0.87,28.5,0.1,-0.53,-0.25,0.01,0.8,28.4,4,0,2.73,91.0217,-14.5911,1.8545,0.2595,-0.7701,0.2345,-0.1517,0.0771,0.5924,0.2924,-0.1409,-0.2176,-0.1193,0.1652,0.347,-0.0144,-0.1405,-0.0988,-0.1316,-0.0167,-0.1356,0.0263,0.316,0.5363,0.3073,-0.1306,0.2766,0.0773,0.275,-0.0093,0.1047,-0.0701,0.0161,0.1048,-0.4127,0.0028,0.0501,-0.1881,-0.1012,-0.4104,-0.1233,-0.2261,0.0142,-0.1408,0.0172,0.0966,-0.0782,-0.0704,-0.0986,0.0113,0.2998,-0.2631,0.1578,-0.083,-0.0538
ethylacetate,-0.263818,-0.15507498,-0.132368,-0.098050006,-0.054086998,-0.412305,-0.105260015,-0.103856996,-0.073961996,-0.056468002,-0.27233648,-0.15845549,-0.1301675,-0.086006,-0.078972,0.26,0.12,0.23,18,18,4,8.3,48,0,0.45,0.58,0.26,6.02,0.5,1,0.1,7.5,0.04,0.45,1.78,-83.6,77.1,0.89,5.9,23.7,1.37,6.02,0.55,4.3,10.02,0.2,1,2.27,31.9,88.11,0.9,24,0.23,-0.37,0.45,0.5,0.8,93.7,-4,37.7,0.74,91.1794,12.2093,-0.8938,1.0684,-1.4875,0.495,0.7959,-0.4282,-0.3083,1.043,0.3197,0.2685,0.342,-0.2519,0.6235,0.1167,-0.2323,-0.0995,0.1824,-0.143,-0.3019,-0.049,0.3266,0.0008,0.3718,-0.0461,-0.3957,0.1257,0.1279,-0.0395,0.4006,0.2454,0.0883,0.0715,0.0667,0.1253,0.0374,-0.1066,-0.1386,-0.0811,0.125,-0.088,0.1231,0.0048,-0.0928,-0.0834,0.0563,-0.1389,-0.2587,0.0036,-0.0716,-0.0976,-0.1243,0.0045,-0.1398
tetrahydropyran,-0.259673,-0.25952,-0.094697,-0.094629996,-0.057746008,-0.279367,-0.075937,-0.075931996,-0.061118,-0.061117,-0.16855651,-0.1678025,-0.1677285,-0.0779075,-0.0778735,0.25,0.11,0.19,18.2,18,6.5,10,51,0,0.47,0.49,0.35,7.2,0.5,1,0.08,7.7,0,0.54,1.43,-44.9,88.8,0.36,5.5,21.7,1.42,6.47,0.48,4.2,9.2,1,1,2.22,30.7,86.13,0.89,26.5,0.26,-0.49,0.31,0.1,0.7,25.8,-15,9.23,0.68,86.5274,-4.4298,-0.6888,-1.2741,0.2444,0.1542,-0.8264,-0.3306,-0.4314,-0.1933,0.8713,-0.1067,0.6819,1.2447,0.6295,-0.5872,0.2752,-0.0886,0.0433,0.4641,-0.2874,-0.1885,0.1274,-0.056,0.2268,0.3298,0.1353,-0.241,0.2387,-0.3848,0.0657,-0.1111,-0.234,-0.1206,0.0593,-0.1315,-0.1041,-0.1178,-0.1879,0.1419,0.3131,-0.2313,-0.1182,0.1495,0.0887,0.3797,-0.0706,0.1489,-0.0072,-0.391,-0.2876,-0.1575,-0.3215,-0.1863,0.0858
